1261	bogotatransito	ADJ	O
1261	Accidente	PROPN	O
1261	y	CCONJ	O
1261	bloqueo	NOUN	O
1261	en	ADP	O
1261	la	DET	O
1261	Calle	PROPN	B-loc
1261	13	NUM	I-loc
1261	Ori-Occ	PROPN	O
1261	en	ADP	O
1261	la	DET	B-loc
1261	105	NUM	I-loc
1261	Frente	NOUN	O
1261	al	ADP	O
1261	semáforo	NOUN	O
1261	de	ADP	O
1261	ZFÑÑ	PROPN	O
1261	zf	ADP	O
1261	bta	NOUN	O
1261	.	PUNCT	O
1261	fontibon	VERB	O
1261	somos	AUX	O
1261	t	NOUN	O
1261	fontibon	VERB	O
1261	_	NUM	O
1261	bogota	NOUN	O

1281	Autopista	PROPN	B-loc
1281	Norte	PROPN	I-loc
1281	por	ADP	I-loc
1281	87	NUM	I-loc
1281	.	PUNCT	O
1281	Vehículo	PROPN	O
1281	pierde	VERB	O
1281	el	DET	O
1281	control	NOUN	O
1281	y	CCONJ	O
1281	se	PRON	O
1281	sube	VERB	O
1281	al	ADP	O
1281	separador	NOUN	O
1281	.	PUNCT	O
1281	Unidades	PROPN	O
1281	Cívicas	PROPN	O

1313	Buen	ADJ	O
1313	dia	NOUN	O
1313	,	PUNCT	O
1313	nos	PRON	O
1313	reportan	VERB	O
1313	Accidente	PROPN	O
1313	con	ADP	O
1313	lesionados	ADJ	O
1313	en	ADP	O
1313	la	DET	O
1313	Autopista	PROPN	B-loc
1313	Norte	PROPN	I-loc
1313	con	ADP	I-loc
1313	Calle	PROPN	I-loc
1313	210	NUM	I-loc
1313	Sentido	PROPN	O
1313	N-S	PROPN	O
1313	,	PUNCT	O

1318	Accidente	PROPN	O
1318	Av	PROPN	B-loc
1318	Circunvalar	PROPN	I-loc
1318	con	ADP	I-loc
1318	82	NUM	I-loc
1318	costado	VERB	O
1318	norte-sur	ADJ	O
1318	via	NOUN	O
1318	la	DET	B-loc
1318	calera	NOUN	I-loc
1318	(	PUNCT	O
